date,spx,mar,hlt,hst,mgm,lvs,spxChange,marChange,hltChange,hstChange,mgmChange,lvsChange
"May 17, 2022","4,088.85",164.86,135.08,20.72,35.69,34.69,-0.144259063150096000000000000,-0.001272187556793960000000000,-0.133824943892273000000000000,0.184676958261864000000000000,-0.207593250444050000000000000,-0.087585481325618200000000000
"May 18, 2022","3,923.68",154.02,128.66,19.77,33,33.82,-0.178826907541428000000000000,-0.066941297631307800000000000,-0.174991984610452000000000000,0.130360205831904000000000000,-0.267317939609236000000000000,-0.110468174644924000000000000
"May 19, 2022","3,900.79",156.94,131.71,19.45,33.65,33.26,-0.183617474582160000000000000,-0.049251832555885400000000000,-0.155434434113498000000000000,0.112064036592339000000000000,-0.252886323268206000000000000,-0.125197264597580000000000000
"May 20, 2022","3,901.36",155.23,130.28,18.61,34.37,33.46,-0.183498181300674000000000000,-0.059611074089780100000000000,-0.164604039756332000000000000,0.064036592338479200000000000,-0.236900532859680000000000000,-0.119936875328774000000000000
"May 23, 2022","3,973.75",157.96,132.35,18.73,33.61,32.99,-0.168347934551939000000000000,-0.043072635851456900000000000,-0.151330554664957000000000000,0.070897655803316300000000000,-0.253774422735346000000000000,-0.132298790110468000000000000
"May 24, 2022","3,941.48",152.64,128.28,18.55,31.11,30.98,-0.175101608575722000000000000,-0.075301387290240600000000000,-0.177428663033023000000000000,0.060606060606060700000000000,-0.309280639431616000000000000,-0.185165702261967000000000000
"May 25, 2022","3,978.73",159.55,131.74,19.35,32.09,32.07,-0.167305687987376000000000000,-0.033440358635730200000000000,-0.155242064764347000000000000,0.106346483704974000000000000,-0.287522202486678000000000000,-0.156496580746975000000000000
"May 26, 2022","4,057.84",170.17,138.47,20.36,34.48,34.17,-0.150749036235858000000000000,0.030895983522142100000000000,-0.112087207438281000000000000,0.164093767867353000000000000,-0.234458259325044000000000000,-0.101262493424513000000000000
"May 27, 2022","4,158.24",172.56,142.25,20.7,34.89,34.62,-0.129736675777604000000000000,0.045374689525655800000000000,-0.087848669445335000000000000,0.183533447684391000000000000,-0.225355239786856000000000000,-0.089426617569700300000000000
"May 31, 2022","4,132.15",171.58,140.86,19.99,34.97,35.46,-0.135196959486327000000000000,0.039437814260616800000000000,-0.096761782622635300000000000,0.142938822184105000000000000,-0.223579040852575000000000000,-0.067332982640715500000000000
"June 1, 2022","4,101.23",170.59,138.42,20.43,34.19,35.16,-0.141668096790802000000000000,0.033440358635730400000000000,-0.112407823020199000000000000,0.168096054888508000000000000,-0.240896980461812000000000000,-0.075223566543924400000000000
"June 2, 2022","4,176.82",174.42,142.29,20.69,35.13,35.53,-0.125848133374075000000000000,0.056642636457260500000000000,-0.087592176979801200000000000,0.182961692395655000000000000,-0.220026642984014000000000000,-0.065491846396633400000000000
"June 3, 2022","4,108.54",174.65,142.17,20.56,34.71,34.96,-0.140138212777357000000000000,0.058035984733749400000000000,-0.088361654376402700000000000,0.175528873642081000000000000,-0.229351687388988000000000000,-0.080483955812730200000000000
